language,gloss,form,ipa_tokens,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,thin_lang_flag,n_tokens,n_lookups,threshold,loan_class,thin_lang_note
Yakut,sound,tɯ͡as,t ɯa s,northeuralex,-1.2231,-1.2231,False,False,False,3,3,-1.1851,unknown,
Yakut,calm,uː_cuːmpu,uː + c uː m p u,northeuralex,-1.2273,-1.2273,False,False,False,7,6,-1.1851,unknown,
Yakut,game,oːɲːuː,oː ɲː uː,northeuralex,-1.2178,-1.2178,False,False,False,3,3,-1.1851,unknown,
Yakut,help,kømø,k ø m ø,northeuralex,-1.2172,-1.2172,False,False,False,4,4,-1.1851,unknown,
Yakut,circle,tøɡyɾyk,t ø g y ɾ y k,northeuralex,-1.2267,-1.2267,False,False,False,7,7,-1.1851,unknown,
Yakut,circle,tøɡyɾymte,t ø g y ɾ y m t e,northeuralex,-1.2039,-1.2039,False,False,False,9,9,-1.1851,unknown,
Yakut,cross,kiɾi͡es,k i ɾ ie s,northeuralex,-1.1985,-1.1985,False,False,False,5,5,-1.1851,unknown,
Yakut,area,siɾ,s i ɾ,northeuralex,-1.2056,-1.2056,False,False,False,3,3,-1.1851,unknown,
Yakut,place,siɾ,s i ɾ,northeuralex,-1.2056,-1.2056,False,False,False,3,3,-1.1851,unknown,
Yakut,side,øɾyt,ø ɾ y t,northeuralex,-1.233,-1.233,False,False,False,4,4,-1.1851,unknown,
Yakut,middle,oɾto,o ɾ t o,northeuralex,-1.2658,-1.2658,False,False,False,4,4,-1.1851,unknown,
Yakut,pattern,ohu͡oɾ,o h uo ɾ,northeuralex,-1.2408,-1.2408,False,False,False,4,4,-1.1851,unknown,
Yakut,height,yɾdyk,y ɾ d y k,northeuralex,-1.3014,-1.3014,False,False,False,5,5,-1.1851,unknown,
Yakut,heap,cømcøx,c ø m c ø x,northeuralex,-1.2405,-1.2405,False,False,False,6,6,-1.1851,unknown,
Yakut,boat,oŋoco,o ŋ o c o,northeuralex,-1.295,-1.295,False,False,False,5,5,-1.1851,unknown,
Yakut,wood,mas,m a s,northeuralex,-1.2068,-1.2068,False,False,False,3,3,-1.1851,unknown,
Yakut,board,du͡oska,d uo s k a,northeuralex,-1.2081,-1.2081,False,False,False,5,5,-1.1851,unknown,
Yakut,stick,mas,m a s,northeuralex,-1.2068,-1.2068,False,False,False,3,3,-1.1851,unknown,
Yakut,house,ɟi͡e,ɟ ie,northeuralex,-1.2651,-1.2651,False,False,False,2,2,-1.1851,unknown,
Yakut,home,ɟi͡e,ɟ ie,northeuralex,-1.2651,-1.2651,False,False,False,2,2,-1.1851,unknown,
Yakut,stove,ohox,o h o x,northeuralex,-1.2778,-1.2778,False,False,False,4,4,-1.1851,unknown,
Yakut,floor,mu͡osta,m uo s t a,northeuralex,-1.2139,-1.2139,False,False,False,5,5,-1.1851,unknown,
Yakut,window,tynːyk,t y nː y k,northeuralex,-1.286,-1.286,False,False,False,5,5,-1.1851,unknown,
Yakut,spade,kyɾɟex,k y ɾ ɟ e x,northeuralex,-1.2032,-1.2032,False,False,False,6,6,-1.1851,unknown,
Yakut,shovel,kyɾɟex,k y ɾ ɟ e x,northeuralex,-1.2032,-1.2032,False,False,False,6,6,-1.1851,unknown,
Yakut,hook,køxø,k ø x ø,northeuralex,-1.1869,-1.1869,False,False,False,4,4,-1.1851,unknown,
Yakut,pouch,møhøːcːuk,m ø h øː cː u k,northeuralex,-1.1855,-1.1855,False,False,False,7,7,-1.1851,unknown,
Yakut,bag,suːmka,s uː m k a,northeuralex,-1.2164,-1.2164,False,False,False,5,5,-1.1851,unknown,
Yakut,fat,sɯ͡a,s ɯa,northeuralex,-1.2829,-1.2829,False,False,False,2,2,-1.1851,unknown,
Yakut,salt,tuːs,t uː s,northeuralex,-1.2639,-1.2639,False,False,False,3,3,-1.1851,unknown,
Yakut,honey,my͡øt,m yø t,northeuralex,-1.2352,-1.2352,False,False,False,3,3,-1.1851,unknown,
Yakut,knot,tymyk,t y m y k,northeuralex,-1.312,-1.312,False,False,False,5,5,-1.1851,unknown,
Yakut,sleeve,si͡ex,s ie x,northeuralex,-1.264,-1.264,False,False,False,3,3,-1.1851,unknown,
Yakut,pillow,sɯtːɯk,s ɯ tː ɯ k,northeuralex,-1.1965,-1.1965,False,False,False,5,5,-1.1851,unknown,
