ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
5190	Chuvash	trousers	ʂ ə l a ʋ a r	ʂəlaˈʋar	3 7 5 7 6 7 5	AXBYBYN	SELAWAR	2	2.S.C 2.E.V 2.L.C 2.A.V 2.W.C 2.A.V 2.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	1386
6288	Yakut	trousers	ɯ s t aː n	ɯstaːn	7 3 1 7 4	XMBYN	ISTAN	9	9.I.V 9.S.c 9.T.C 9.A.V 9.N.c	1.5 1.1 1.75 1.3 0.8	0	1386
6289	Yakut	trousers	b y ɾ yː k e	byɾyːke	1 7 5 7 1 7	AXBYBZ	PYRYKE	9	9.P.C 9.Y.V 9.R.C 9.Y.V 9.K.C 9.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1386
1000	Turkish	true	d oː ɾ u	doːɾu	1 7 5 7	AXBZ	TURY	5	5.T.C 5.U.V 5.R.C 5.Y.V	2.0 1.5 1.75 0.8	1	1388
1001	Turkish	true	g ɛ ɾ tʃ ɛ k	ɡɛɾt͡ʃɛk	1 7 5 1 7 1	AXMBYN	KERTEK	5	5.K.C 5.E.V 5.R.c 5.T.C 5.E.V 5.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1388
2116	Azerbaijani	true	ɟ æ r tʃ æ k	ɟært͡ʃæk	1 7 5 1 7 1	AXMBYN	CERTEK	1	1.C.C 1.E.V 1.R.c 1.T.C 1.E.V 1.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1388
3111	Uzbek	true	h a q i q i j	haqiqij	3 7 1 7 1 7 6	AXBYBYN	HAKIKIJ	8	8.H.C 8.A.V 8.K.C 8.I.V 8.K.C 8.I.V 8.J.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	1388
4196	Kazakh	true	n ɑ ʁ ə z	nɑʁəz	4 7 5 7 3	AXBYN	NARES	3	3.N.C 3.A.V 3.R.C 3.E.V 3.S.c	2.0 1.5 1.75 1.3 0.8	0	1388
5398	Chuvash	true	tɕ ə n	t͡ɕən	2 7 4	AXN	CEN	2	2.C.C 2.E.V 2.N.c	2.0 1.5 0.8	0	1388
6475	Yakut	true	k ɯ ɾ ɟ ɯ k	kɯɾɟɯk	1 7 5 1 7 1	AXMBYN	KIRCIK	9	9.K.C 9.I.V 9.R.c 9.C.C 9.I.V 9.K.c	2.0 1.5 1.1 1.75 1.3 0.8	1	1388
475	Turkish	trunk	g œ v d ɛ	ɡœvdɛ	1 7 3 1 7	AXMBZ	KUBTE	5	5.K.C 5.U.V 5.B.c 5.T.C 5.E.V	2.0 1.5 1.1 1.75 0.8	0	1389
1638	Azerbaijani	trunk	ɟ œ v d æ	ɟœvdæ	1 7 3 1 7	AXMBZ	CUBTE	1	1.C.C 1.U.V 1.B.c 1.T.C 1.E.V	2.0 1.5 1.1 1.75 0.8	0	1389
2688	Uzbek	trunk	o s i m t a	osimta	7 3 7 4 1 7	XBYMBZ	USIMTA	8	8.U.V 8.S.C 8.I.V 8.M.c 8.T.C 8.A.V	1.5 1.75 1.3 1.1 1.75 0.8	0	1389
3660	Kazakh	trunk	s o j ɑ u	sojɑu	3 7 6 7 7	AXBYZ	SUJAY	3	3.S.C 3.U.V 3.J.C 3.A.V 3.Y.V	2.0 1.5 1.75 1.3 0.8	0	1389
3661	Kazakh	trunk	o q p ɑ n	oqpɑn	7 1 1 7 4	XMBYN	UKPAN	3	3.U.V 3.K.c 3.P.C 3.A.V 3.N.c	1.5 1.1 1.75 1.3 0.8	0	1389
4893	Chuvash	trunk	ʋ u l ə	ˈʋulə	6 7 5 7	AXBZ	WYLE	2	2.W.C 2.Y.V 2.L.C 2.E.V	2.0 1.5 1.75 0.8	0	1389
6020	Yakut	trunk	u m n a s	umnas	7 4 4 7 3	XMBYN	YMNAS	9	9.Y.V 9.M.c 9.N.C 9.A.V 9.S.c	1.5 1.1 1.75 1.3 0.8	0	1389
595	Turkish	truth	d oː ɾ u l u k	doːɾuluk	1 7 5 7 5 7 1	AXBYBYN	TURYLYK	5	5.T.C 5.U.V 5.R.C 5.Y.V 5.L.C 5.Y.V 5.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	1390
596	Turkish	truth	g ɛ ɾ tʃ ɛ k l i k	ɡɛɾt͡ʃɛklik	1 7 5 1 7 1 5 7 1	AXMBYBCYN	KERTEKLIK	5	5.K.C 5.E.V 5.R.c 5.T.C 5.E.V 5.K.C 5.L.C 5.I.V 5.K.c	2.0 1.5 1.1 1.75 1.3 1.75 1.5 1.3 0.8	0	1390
1747	Azerbaijani	truth	h ɑ gː	hɑɡː	3 7 1	AXN	HAK	1	1.H.C 1.A.V 1.K.c	2.0 1.5 0.8	0	1390
1748	Azerbaijani	truth	d ɔ ɣ r u l u g	dɔɣruluɡ	1 7 3 5 7 5 7 1	AXBCYBYN	TUGRYLYK	1	1.T.C 1.U.V 1.G.C 1.R.C 1.Y.V 1.L.C 1.Y.V 1.K.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	0	1390
2792	Uzbek	truth	h a q	haq	3 7 1	AXN	HAK	8	8.H.C 8.A.V 8.K.c	2.0 1.5 0.8	0	1390
3784	Kazakh	truth	ɾ ɑ s	ɾɑs	5 7 3	AXN	RAS	3	3.R.C 3.A.V 3.S.c	2.0 1.5 0.8	0	1390
5009	Chuvash	truth	tɕ ə n l ə χ	ˈt͡ɕənləχ	2 7 4 5 7 3	AXBCYN	CENLEG	2	2.C.C 2.E.V 2.N.C 2.L.C 2.E.V 2.G.c	2.0 1.5 1.75 1.5 1.3 0.8	0	1390
6128	Yakut	truth	k ɯ ɾ ɟ ɯ k	kɯɾɟɯk	1 7 5 1 7 1	AXMBYN	KIRCIK	9	9.K.C 9.I.V 9.R.c 9.C.C 9.I.V 9.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1390
1247	Turkish	try	d ɛ n ɛ m ɛ k	dɛnɛmɛk	1 7 4 7 4 7 1	AXBYBYN	TENEMEK	5	5.T.C 5.E.V 5.N.C 5.E.V 5.M.C 5.E.V 5.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	1391
