ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
333	Chuvash	woman	χ ĭ r a r ə m	χɘrarə̈m	3 7 5 7 5 7 4	AXBYBYN	GIRAREM	2	2.G.C 2.I.V 2.R.C 2.A.V 2.R.C 2.E.V 2.M.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	259
334	Azerbaijani	woman	ɢ a d ɯ n	ɢadɯn	1 7 1 7 4	AXBYN	KATIN	1	1.K.C 1.A.V 1.T.C 1.I.V 1.N.c	2.0 1.5 1.75 1.3 0.8	0	258
335	Turkish	woman	k a d ɯ n	kadɯn	1 7 1 7 4	AXBYN	KATIN	5	5.K.C 5.A.V 5.T.C 5.I.V 5.N.c	2.0 1.5 1.75 1.3 0.8	0	258
336	Uzbek	woman	χ ɔ t i n	χɔtin (kiʃi)	3 7 1 7 4	AXBYN	GUTIN	8	8.G.C 8.U.V 8.T.C 8.I.V 8.N.c	2.0 1.5 1.75 1.3 0.8	0	262
346	Kazakh	woman	b ɪ j k e	bɪjke	1 7 6 1 7	AXMBZ	PIJKE	3	3.P.C 3.I.V 3.J.c 3.K.C 3.E.V	2.0 1.5 1.1 1.75 0.8	0	260
350	Yakut	woman	ɟ a x t a ɾ	ɟaxtaɾ	1 7 3 1 7 5	AXMBYN	CAGTAR	9	9.C.C 9.A.V 9.G.c 9.T.C 9.A.V 9.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	263
19	Azerbaijani	you_2sg	s i z	siz	3 7 3	AXN	SIS	1	1.S.C 1.I.V 1.S.c	2.0 1.5 0.8	0	265
20	Chuvash	you_2sg	e z i r	ezir	7 3 7 5	XBYN	ESIR	2	2.E.V 2.S.C 2.I.V 2.R.c	1.5 1.75 1.3 0.8	0	265
21	Kazakh	you_2sg	s ĭ z d e r	sɘzder	3 7 3 1 7 5	AXMBYN	SISTER	3	3.S.C 3.I.V 3.S.c 3.T.C 3.E.V 3.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	265
22	Kyrgyz	you_2sg	s i l e r	siler	3 7 5 7 5	AXBYN	SILER	4	4.S.C 4.I.V 4.L.C 4.E.V 4.R.c	2.0 1.5 1.75 1.3 0.8	0	267
23	Turkish	you_2sg	s i z	siz	3 7 3	AXN	SIS	5	5.S.C 5.I.V 5.S.c	2.0 1.5 0.8	0	265
24	Turkmen	you_2sg	s i z	siz	3 7 3	AXN	SIS	6	6.S.C 6.I.V 6.S.c	2.0 1.5 0.8	0	265
25	Uyghur	you_2sg	s i z	siz	3 7 3	AXN	SIS	7	7.S.C 7.I.V 7.S.c	2.0 1.5 0.8	0	265
26	Uzbek	you_2sg	s i z l a r	sizlar	3 7 3 5 7 5	AXBCYN	SISLAR	8	8.S.C 8.I.V 8.S.C 8.L.C 8.A.V 8.R.c	2.0 1.5 1.75 1.5 1.3 0.8	0	271
27	Yakut	you_2sg	e h i g i	ehigi	7 3 7 1 7	XBYBZ	EHIKI	9	9.E.V 9.H.C 9.I.V 9.K.C 9.I.V	1.5 1.75 1.3 1.75 0.8	0	265
# Created using the LexStat class of LingPy-2.6.13
# Parameters: 2:1_1.00_0_0.70_global-2-0.50:local-1-0.50_0.30__T_shuffle_False:upgma:-2_0.7_0.00_-5.00
# Cluster: lexstat_upgma_0.50
