language,gloss,form,ipa_tokens,cogid,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,n_tokens,n_lookups
Azerbaijani,eye,køz,k ø z,245,savelyev,-0.0409,-0.0409,False,False,3,3
Chuvash,eye,kuɕ,k u ɕ,245,savelyev,-0.3921,-0.3921,False,False,3,3
Kazakh,eye,køz,k ø z,245,savelyev,-0.1695,-0.1695,False,False,3,3
Kyrgyz,eye,køz,k ø z,245,savelyev,-0.1632,-0.1632,False,False,3,3
Turkish,eye,gøz,g ø z,245,savelyev,-0.0409,-0.0409,False,False,3,3
Turkmen,eye,gøz,g ø z,245,savelyev,-0.0409,-0.0409,False,False,3,3
Uyghur,eye,køz,k ø z,245,savelyev,-0.173,-0.173,False,False,3,3
Uzbek,eye,koz,k o z,245,savelyev,-0.1809,-0.1809,False,False,3,3
Yakut,eye,χaraχ,χ a r a χ,246,savelyev,-0.0924,-0.0924,False,False,5,5
Kazakh,all,? ʒɯɣɯl,ʒ ɯ ɣ ɯ l,100012,lexstat,-1.3973,-1.6973,True,False,5,5
Kyrgyz,all,ʥɯɣɯl,ʥ ɯ ɣ ɯ l,100013,lexstat,-1.3661,-1.6661,True,False,5,5
Turkmen,all,jɯqɯl,j ɯ q ɯ l,100015,lexstat,-0.0772,-0.3772,True,False,5,5
Uyghur,all,ʒiqil,ʒ i q i l,100016,lexstat,-1.318,-1.618,True,False,5,5
Uzbek,all,jiqil,j i q i l,100017,lexstat,-0.2219,-0.5219,True,False,5,5
Azerbaijani,all,dyʃ,d y ʃ,100010,lexstat,-0.079,-0.379,True,False,3,3
Turkish,all,dyʃ,d y ʃ,100010,lexstat,-0.0668,-0.3668,True,False,3,3
Yakut,all,tys,t y s,100010,lexstat,-0.2095,-0.5095,True,False,3,3
Chuvash,all,yk,y k,100011,lexstat,-0.2166,-0.5166,True,False,2,2
Kazakh,grease,maj,m a j,693,savelyev,-0.0819,-0.0819,False,False,3,3
Kyrgyz,grease,maj,m a j,693,savelyev,-0.0973,-0.0973,False,False,3,3
Uyghur,grease,maj,m a j,693,savelyev,-0.0193,-0.0193,False,False,3,3
Azerbaijani,grease,jaɣ,j a ɣ,694,savelyev,-2.1553,-2.1553,False,False,3,3
Chuvash,grease,ɕu,ɕ u,694,savelyev,-0.3715,-0.3715,False,False,2,2
Turkish,grease,jaɣ,j a ɣ,694,savelyev,-0.091,-0.091,False,False,3,3
Turkmen,grease,jaɣ,j a ɣ,694,savelyev,-2.0627,-2.0627,False,False,3,3
Uzbek,grease,jɔɣ,j ɔ ɣ,694,savelyev,-2.0193,-2.0193,False,False,3,3
Yakut,grease,sɯa,s ɯ a,694,savelyev,-0.244,-0.244,False,False,3,3
Azerbaijani,fish,balɯɢ,b a l ɯ ɢ,98,savelyev,-0.0974,-0.0974,False,False,5,5
Chuvash,fish,pulə̈,p u l ə,98,savelyev,-1.5993,-1.5993,False,False,4,4
Kazakh,fish,balɯq,b a l ɯ q,98,savelyev,-0.2446,-0.2446,False,False,5,5
Kyrgyz,fish,balɯq,b a l ɯ q,98,savelyev,-0.1924,-0.1924,False,False,5,5
Turkish,fish,balɯq,b a l ɯ q,98,savelyev,-0.0791,-0.0791,False,False,5,5
Turkmen,fish,balɯq,b a l ɯ q,98,savelyev,-0.1007,-0.1007,False,False,5,5
Uyghur,fish,beliq,b e l i q,98,savelyev,-0.0631,-0.0631,False,False,5,5
Uzbek,fish,baliq,b a l i q,98,savelyev,-0.1768,-0.1768,False,False,5,5
Yakut,fish,balɯk,b a l ɯ k,98,savelyev,-1.2737,-1.2737,False,False,5,5
Azerbaijani,head,alɯn,a l ɯ n,421,savelyev,-0.0911,-0.0911,False,False,4,4
Turkish,head,alɯn,a l ɯ n,421,savelyev,-0.0683,-0.0683,False,False,4,4
Turkmen,head,? alɯn,a l ɯ n,100121,lexstat,-0.1169,-0.4169,True,False,4,4
Yakut,head,sy:s,s yː s,421,savelyev,-0.2761,-0.2761,False,False,3,3
Chuvash,head,ɕamga,ɕ a m g a,421,savelyev,-0.2239,-0.2239,False,False,5,5
Kyrgyz,head,ʨeke,tɕ e k e,421,savelyev,-0.3806,-0.3806,False,False,4,4
Azerbaijani,hair,saʨ,s a tɕ,74,savelyev,-0.2472,-0.2472,False,False,3,3
Chuvash,hair,ɕyɕ,ɕ y ɕ,74,savelyev,-0.2305,-0.2305,False,False,3,3
Kazakh,hair,ʃaʃ,ʃ a ʃ,74,savelyev,-0.39,-0.39,False,False,3,3
Kyrgyz,hair,ʨaʨ,tɕ a tɕ,74,savelyev,-0.0297,-0.0297,False,False,3,3
Turkish,hair,saʨ,s a tɕ,74,savelyev,-0.2528,-0.2528,False,False,3,3
Turkmen,hair,saʨ,s a tɕ,74,savelyev,-0.1622,-0.1622,False,False,3,3
Uyghur,hair,ʨaʨ,tɕ a tɕ,74,savelyev,-0.2896,-0.2896,False,False,3,3
Uzbek,hair,sɔʨ,s ɔ tɕ,74,savelyev,-2.0193,-2.0193,False,False,3,3
Yakut,hair,as,a s,74,savelyev,-0.3226,-0.3226,False,False,2,2
Kazakh,head,bas,b a s,421,savelyev,-0.2356,-0.2356,False,False,3,3
Uyghur,head,baʃ,b a ʃ,421,savelyev,-0.0193,-0.0193,False,False,3,3
Uzbek,head,bɔʃ,b ɔ ʃ,421,savelyev,-0.094,-0.094,False,False,3,3
