language,gloss,form,ipa_tokens,group,cogid_source,adjusted_score,central_score,cond1_anomalous,cond2_pass,loan_class,thin_lang_flag
Azerbaijani,all,dyʃ,d y ʃ,A_oghuz,lexstat,-1.241,-1.241,True,True,unknown,False
Azerbaijani,arrow,ɔχ,ɔ χ,A_oghuz,northeuralex,-1.1968,-1.1968,True,True,unknown,False
Turkish,three,yt͡ʃ,y tʃ,A_oghuz,northeuralex,-1.1904,-1.1904,True,True,unknown,False
Turkish,he,o,o,A_oghuz,northeuralex,-1.1765,-1.1765,True,True,unknown,False
Azerbaijani,very,t͡ʃɔχ,tʃ ɔ χ,A_oghuz,northeuralex,-1.1745,-1.1745,True,True,unknown,False
Turkish,all,dyʃ,d y ʃ,A_oghuz,lexstat,-1.1659,-1.1659,True,True,unknown,False
Azerbaijani,three,yt͡ʃ,y tʃ,A_oghuz,northeuralex,-1.1382,-1.1382,True,True,unknown,False
Azerbaijani,force,ɟyd͡ʒ,ɟ y dʒ,A_oghuz,northeuralex,-1.1338,-1.1338,True,True,unknown,False
Azerbaijani,he,ɔ,ɔ,A_oghuz,northeuralex,-1.1189,-1.1189,True,True,unknown,False
Azerbaijani,house,ɛv,ɛ v,A_oghuz,northeuralex,-1.1129,-1.1129,True,True,unknown,False
Azerbaijani,home,ɛv,ɛ v,A_oghuz,northeuralex,-1.1129,-1.1129,True,True,unknown,False
Turkish,third,yt͡ʃynd͡ʒy,y tʃ y n dʒ y,A_oghuz,northeuralex,-1.1082,-1.1082,True,True,unknown,False
Azerbaijani,stove,pɛt͡ʃ,p ɛ tʃ,A_oghuz,northeuralex,-1.1026,-1.1026,True,True,unknown,False
Azerbaijani,third,yt͡ʃynd͡ʒy,y tʃ y n dʒ y,A_oghuz,northeuralex,-1.0656,-1.0656,True,True,unknown,False
Azerbaijani,palm,ɔvud͡ʒ,ɔ v u dʒ,A_oghuz,northeuralex,-1.0644,-1.0644,True,True,unknown,False
Azerbaijani,string,ɪp,ɪ p,A_oghuz,northeuralex,-1.0632,-1.0632,True,True,unknown,False
Turkish,body,vyd͡ʒut,v y dʒ u t,A_oghuz,northeuralex,-1.0562,-1.0562,True,True,unknown,False
Turkish,house,ɛv,ɛ v,A_oghuz,northeuralex,-1.047,-1.047,True,True,unknown,False
Turkish,home,ɛv,ɛ v,A_oghuz,northeuralex,-1.047,-1.047,True,True,unknown,False
Turkish,and,vɛ,v ɛ,A_oghuz,northeuralex,-1.047,-1.047,True,True,unknown,False
Azerbaijani,raw,t͡ʃɪj,tʃ ɪ j,A_oghuz,northeuralex,-1.0373,-1.0373,True,True,unknown,False
Turkish,blanket,œɾty,œ ɾ t y,A_oghuz,northeuralex,-1.0299,-1.0299,True,True,unknown,False
Turkish,net,aː,aː,A_oghuz,northeuralex,-1.0205,-1.0205,True,True,unknown,False
Azerbaijani,tip,ud͡ʒ,u dʒ,A_oghuz,northeuralex,-1.018,-1.018,True,True,unknown,False
Turkish,before,œnd͡ʒɛ,œ n dʒ ɛ,A_oghuz,northeuralex,-1.0158,-1.0158,True,True,unknown,False
Azerbaijani,worker,ɪʃt͡ʃɪ,ɪ ʃ tʃ ɪ,A_oghuz,northeuralex,-1.0129,-1.0129,True,True,unknown,False
Azerbaijani,often,t͡ʃɔχ_vɑχt,tʃ ɔ χ + v ɑ χ t,A_oghuz,northeuralex,-1.0124,-1.0124,True,True,unknown,False
Azerbaijani,powerful,ɟyd͡ʒly,ɟ y dʒ l y,A_oghuz,northeuralex,-1.0106,-1.0106,True,True,unknown,False
Azerbaijani,fire,ɔd,ɔ d,A_oghuz,northeuralex,-1.0082,-1.0082,True,True,unknown,False
Azerbaijani,night,ɟɛd͡ʒæ,ɟ ɛ dʒ æ,A_oghuz,northeuralex,-1.0068,-1.0068,True,True,unknown,False
Turkish,company,t͡ʃɛvɾɛ,tʃ ɛ v ɾ ɛ,A_oghuz,northeuralex,-1.0063,-1.0063,True,True,unknown,False
Azerbaijani,cross,χɑt͡ʃ,χ ɑ tʃ,A_oghuz,northeuralex,-1.006,-1.006,True,True,unknown,False
Turkish,flock,syɾy,s y ɾ y,A_oghuz,northeuralex,-1.0035,-1.0035,True,True,unknown,False
Turkish,swarm,syɾy,s y ɾ y,A_oghuz,northeuralex,-1.0035,-1.0035,True,True,unknown,False
Turkish,grass,ot,o t,A_oghuz,northeuralex,-1.0025,-1.0025,True,True,unknown,False
Azerbaijani,sort,t͡ʃɛʃɪd,tʃ ɛ ʃ ɪ d,A_oghuz,northeuralex,-1.0002,-1.0002,True,True,unknown,False
Turkish,walk,jyɾyjyʃ,j y ɾ y j y ʃ,A_oghuz,northeuralex,-0.9998,-0.9998,True,True,unknown,False
Azerbaijani,sky,ɟœj,ɟ œ j,A_oghuz,northeuralex,-0.9994,-0.9994,True,True,unknown,False
Azerbaijani,blue,ɟœj,ɟ œ j,A_oghuz,northeuralex,-0.9994,-0.9994,True,True,unknown,False
Turkish,teacher,hod͡ʒa,h o dʒ a,A_oghuz,northeuralex,-0.9981,-0.9981,True,True,unknown,False
Turkish,tip,ut͡ʃ,u tʃ,A_oghuz,northeuralex,-0.9963,-0.9963,True,True,unknown,False
