ID	DOCULECT	CONCEPT	TOKENS	IPA
3361	Uzbek	make	q i l m ɒ q	qilmɒq
3362	Uzbek	produce	tʃ i q a r m ɒ q	t͡ʃiqarmɒq
3363	Uzbek	build	s ɒ l m ɒ q	sɒlmɒq
3364	Uzbek	repair, mend	t u z a t m ɒ q	tuzatmɒq
3365	Uzbek	improve	i s l ɒ h + q i l m ɒ q	islɒh_qilmɒq
3366	Uzbek	alter	o z g a r t i r m ɒ q	ozɡartirmɒq
3367	Uzbek	dig	q a z i m ɒ q	qazimɒq
3368	Uzbek	bow	b u k m ɒ q	bukmɒq
3369	Uzbek	bend	b u k m ɒ q	bukmɒq
3370	Uzbek	spin	a j l a n t i r m ɒ q	ajlantirmɒq
3371	Uzbek	turn over	b u r m ɒ q	burmɒq
3372	Uzbek	turn, turn around	a ɣ d a r m ɒ q	aɣdarmɒq
3373	Uzbek	raise	j u k s a l t i r m ɒ q	juksaltirmɒq
3374	Uzbek	lift	k o t a r m ɒ q	kotarmɒq
3375	Uzbek	seize	t u t a m l a m ɒ q	tutamlamɒq
3376	Uzbek	hold	t u t m ɒ q	tutmɒq
3377	Uzbek	press	b ɒ s m ɒ q	bɒsmɒq
3378	Uzbek	push	s u r m ɒ q	surmɒq
3379	Uzbek	scrape	q a ʃ i m ɒ q	qaʃimɒq
3380	Uzbek	lick	m i dʒ i m ɒ q	mid͡ʒimɒq
3381	Uzbek	bite	t i ʃ l a m ɒ q	tiʃlamɒq
3382	Uzbek	tear off	ɛ m i r m ɒ q	ɛmirmɒq
3383	Uzbek	cut off	tʃ o r t + k ɛ s m ɒ q	t͡ʃort_kɛsmɒq
3384	Uzbek	tie	b ɒ ɣ l a m ɒ q	bɒɣlamɒq
3385	Uzbek	stick	s u q m ɒ q	suqmɒq
3386	Uzbek	break	s i n d i r m ɒ q	sindirmɒq
3387	Uzbek	knock	d u k u r l a m ɒ q	dukurlamɒq
3388	Uzbek	hit	u r m ɒ q	urmɒq
3389	Uzbek	glue	j ɒ p i ʃ t i r m ɒ q	jɒpiʃtirmɒq
3390	Uzbek	rub	s u r k a m ɒ q	surkamɒq
3391	Uzbek	spread	s u r k a m ɒ q	surkamɒq
3392	Uzbek	sharpen	q a j r a m ɒ q	qajramɒq
3393	Uzbek	cut	k ɛ s m ɒ q	kɛsmɒq
3394	Uzbek	jog	tʃ a j q a m ɒ q	t͡ʃajqamɒq
3395	Uzbek	shake	tʃ a j q a m ɒ q	t͡ʃajqamɒq
3396	Uzbek	swing	tʃ a j q a t m ɒ q	t͡ʃajqatmɒq
3397	Uzbek	pour	q u j m ɒ q	qujmɒq
3398	Uzbek	fill	t o l d i r m ɒ q	toldirmɒq
3399	Uzbek	wrap	tʃ u l ɣ a m ɒ q	t͡ʃulɣamɒq
3400	Uzbek	carry	t a ʃ i m ɒ q	taʃimɒq
3401	Uzbek	drag	s u d r a m ɒ q	sudramɒq
3402	Uzbek	pull	t ɒ r t m ɒ q	tɒrtmɒq
3403	Uzbek	keep	t u t m ɒ q	tutmɒq
3404	Uzbek	throw	t a ʃ l a m ɒ q	taʃlamɒq
3405	Uzbek	catch	t u t m ɒ q	tutmɒq
3406	Uzbek	grab	ɒ p q ɒ tʃ m ɒ q	ɒpqɒt͡ʃmɒq
3407	Uzbek	hide	j a ʃ i r m ɒ q	jaʃirmɒq
3408	Uzbek	divide	b o l m ɒ q	bolmɒq
3409	Uzbek	send	j u b ɒ r m ɒ q	jubɒrmɒq
3410	Uzbek	bring	k ɛ l t i r m ɒ q	kɛltirmɒq
3411	Uzbek	add	t i r k a m ɒ q	tirkamɒq
3412	Uzbek	get	ɒ l m ɒ q	ɒlmɒq
3413	Uzbek	receive	ɒ l m ɒ q	ɒlmɒq
3414	Uzbek	take	ɒ l m ɒ q	ɒlmɒq
3415	Uzbek	choose	s a j l a m ɒ q	sajlamɒq
3416	Uzbek	select	s a j l a m ɒ q	sajlamɒq
3417	Uzbek	preserve	s a q l a m ɒ q	saqlamɒq
3418	Uzbek	hinder	χ a l a l + b ɛ r m ɒ q	χalal_bɛrmɒq
3419	Uzbek	spoil	χ a z ɒ n + q i l m ɒ q	χazɒn_qilmɒq
3420	Uzbek	damage	b u z m ɒ q	buzmɒq
3421	Uzbek	break	s i n d i r m ɒ q	sindirmɒq
3422	Uzbek	tear	j i r t m ɒ q	jirtmɒq
3423	Uzbek	destroy	w a j r ɒ n + q i l m ɒ q	wajrɒn_qilmɒq
3424	Uzbek	burn	k u j d i r m ɒ q	kujdirmɒq
3425	Uzbek	give	b ɛ r m ɒ q	bɛrmɒq
3426	Uzbek	hand	b ɛ r m ɒ q	bɛrmɒq
3427	Uzbek	give	s ɒ w ɣ a + q i l m ɒ q	sɒwɣa_qilmɒq
3428	Uzbek	promise	w a ʔ d a + b ɛ r m ɒ q	waʔda_bɛrmɒq
3429	Uzbek	wish	ɒ r z i q m ɒ q	ɒrziqmɒq
3430	Uzbek	praise	m a q t a m ɒ q	maqtamɒq
3431	Uzbek	kiss	o p m ɒ q	opmɒq
3432	Uzbek	rock	t ɛ b r a t m ɒ q	tɛbratmɒq
3433	Uzbek	cover	j ɒ p m ɒ q	jɒpmɒq
3434	Uzbek	wake	u j ɣ ɒ t m ɒ q	ujɣɒtmɒq
3435	Uzbek	show	k o r s a t m ɒ q	korsatmɒq
3436	Uzbek	guide	b ɒ ʃ l i k + b o l m ɒ q	bɒʃlik_bolmɒq
3437	Uzbek	teach	o r g a t m ɒ q	orɡatmɒq
3438	Uzbek	instruct	d a r s + b ɛ r m ɒ q	dars_bɛrmɒq
3439	Uzbek	bring up	o s t i r m ɒ q	ostirmɒq
3440	Uzbek	lead	b ɒ ʃ q a r m ɒ q	bɒʃqarmɒq
3441	Uzbek	urge	ʃ ɒ ʃ i l t i r m ɒ q	ʃɒʃiltirmɒq
3442	Uzbek	let	r u χ s a t + b ɛ r m ɒ q	ruχsat_bɛrmɒq
3443	Uzbek	invite	t a k l i f + k i l m ɒ q	taklif_kilmɒq
3444	Uzbek	unite	q o ʃ m ɒ q	qoʃmɒq
3445	Uzbek	visit	m ɛ h m ɒ ŋ a + b ɒ r m ɒ q	mɛhmɒŋa_bɒrmɒq
3446	Uzbek	meet	d u tʃ ɒ r + b o l m ɒ q	dut͡ʃɒr_bolmɒq
3447	Uzbek	assemble	t o p l a n m ɒ q	toplanmɒq
3448	Uzbek	play	o j n a m ɒ q	ojnamɒq
3449	Uzbek	sing	j a lː a + q i l m ɒ q	jalːa_qilmɒq
3450	Uzbek	dance	r a q s + q i l m ɒ q	raqs_qilmɒq
3451	Uzbek	separate	j a kː a l a n m ɒ q	jakːalanmɒq
3452	Uzbek	leave	q ɒ l d i r m ɒ q	qɒldirmɒq
3453	Uzbek	rescue	q u t q a z m ɒ q	qutqazmɒq
3454	Uzbek	guard	q o r i m ɒ q	qorimɒq
3455	Uzbek	protect	j ɒ n i g a + ɒ l m ɒ q	jɒniɡa_ɒlmɒq
3456	Uzbek	defend	j ɒ q l a m ɒ q	jɒqlamɒq
3457	Uzbek	brawl	j ɒ q a l a ʃ m ɒ q	jɒqalaʃmɒq
3458	Uzbek	shoot	ɒ t m ɒ q	ɒtmɒq
3459	Uzbek	win	ɛ ŋ m ɒ q	ɛŋmɒq
3460	Uzbek	annoy	dʒ a h l + tʃ i q a r m ɒ q	d͡ʒahl_t͡ʃiqarmɒq
3461	Uzbek	beat	u r m ɒ q	urmɒq
3462	Uzbek	kick	t ɛ p m ɒ q	tɛpmɒq
3463	Uzbek	sting	q a d a m ɒ q	qadamɒq
3464	Uzbek	shove	t u r t m ɒ q	turtmɒq
3465	Uzbek	steal	o ɣ r i l a m ɒ q	oɣrilamɒq
3466	Uzbek	disturb	t ɛ b r a t m ɒ q	tɛbratmɒq
3467	Uzbek	bother	ɣ a ʃ i n i + k ɛ l t i r m ɒ q	ɣaʃini_kɛltirmɒq
3468	Uzbek	conceal	b ɛ r k i t m ɒ q	bɛrkitmɒq
3469	Uzbek	deceive	a l d a m ɒ q	aldamɒq
3470	Uzbek	cheat	t i rː i q + q i l m ɒ q	tirːiq_qilmɒq
3471	Uzbek	kill	o l d i r m ɒ q	oldirmɒq
3472	Uzbek	dwell	i s t i q ɒ m a t + q i l m ɒ q	istiqɒmat_qilmɒq
3473	Uzbek	work	i ʃ l a m ɒ q	iʃlamɒq
3474	Uzbek	gather	j i ɣ m ɒ q	jiɣmɒq
3475	Uzbek	pick	t ɛ r m ɒ q	tɛrmɒq
3476	Uzbek	hunt	ɒ w + q i l m ɒ q	ɒw_qilmɒq
3477	Uzbek	catch	i l i n m ɒ q	ilinmɒq
3478	Uzbek	herd	b ɒ q t i r m ɒ q	bɒqtirmɒq
3479	Uzbek	drive	h a j d a m ɒ q	hajdamɒq
3480	Uzbek	tie up	b ɒ ɣ l a m ɒ q	bɒɣlamɒq
3481	Uzbek	feed	ɛ d i r m ɒ q	ɛdirmɒq
3482	Uzbek	milk	s ɒ ɣ m ɒ q	sɒɣmɒq
3483	Uzbek	chop	tʃ ɒ p m ɒ q	t͡ʃɒpmɒq
3484	Uzbek	water	ɒ q i z m ɒ q	ɒqizmɒq
3485	Uzbek	ripen	q i z a r m ɒ q	qizarmɒq
3486	Uzbek	cook	p i ʃ i r m ɒ q	piʃirmɒq
3487	Uzbek	boil	q a j n a t m ɒ q	qajnatmɒq
3488	Uzbek	bake	j ɒ p m ɒ q	jɒpmɒq
3489	Uzbek	fry	q ɒ w u r m ɒ q	qɒwurmɒq
3490	Uzbek	stir	a t a l a m ɒ q	atalamɒq
3491	Uzbek	knit	t o q i m ɒ q	toqimɒq
3492	Uzbek	sew	t i k m ɒ q	tikmɒq
3493	Uzbek	dye	b o j ɒ q l a m ɒ q	bojɒqlamɒq
3494	Uzbek	clean	t ɒ z a l a m ɒ q	tɒzalamɒq
3495	Uzbek	wash	j u w m ɒ q	juwmɒq
3496	Uzbek	wipe	s u r k a m ɒ q	surkamɒq
3497	Uzbek	rinse	tʃ a j m ɒ q	t͡ʃajmɒq
3498	Uzbek	sweep	tʃ o t k a l a m ɒ q	t͡ʃotkalamɒq
3499	Uzbek	sweep	s u p u r m ɒ q	supurmɒq
3500	Uzbek	bath	tʃ o m i l m ɒ q	t͡ʃomilmɒq
3501	Uzbek	wash	j u w i n m ɒ q	juwinmɒq
3502	Uzbek	take off	ɛ tʃ i n t i r m ɒ q	ɛt͡ʃintirmɒq
3503	Uzbek	put on	k i j m ɒ q	kijmɒq
3504	Uzbek	get dressed	k i j i n m ɒ q	kijinmɒq
3505	Uzbek	comb	t a r a m ɒ q	taramɒq
3506	Uzbek	decorate	j a s a t m ɒ q	jasatmɒq
3507	Uzbek	say	a j t m ɒ q	ajtmɒq
3508	Uzbek	speak	s o z l a m ɒ q	sozlamɒq
3509	Uzbek	talk	g a p i r m ɒ q	ɡapirmɒq
3510	Uzbek	chat	s u h b a t l a ʃ m ɒ q	suhbatlaʃmɒq
3511	Uzbek	ask	s o r a m ɒ q	soramɒq
3512	Uzbek	request	i l t i m ɒ s + q i l m ɒ q	iltimɒs_qilmɒq
3513	Uzbek	tell	a j t i b + b ɛ r m ɒ q	ajtib_bɛrmɒq
3514	Uzbek	convey	b i l d i r m ɒ q	bildirmɒq
3515	Uzbek	name	a t a m ɒ q	atamɒq
3516	Uzbek	call	tʃ a q i r m ɒ q	t͡ʃaqirmɒq
3517	Uzbek	brag	g ɛ r d a j m ɒ q	ɡɛrdajmɒq
3518	Uzbek	translate	t a r dʒ i m a + q i l m ɒ q	tard͡ʒima_qilmɒq
3519	Uzbek	think	o j l a m ɒ q	ojlamɒq
3520	Uzbek	believe	i ʃ ɒ n m ɒ q	iʃɒnmɒq
3521	Uzbek	notice	p a j q a m ɒ q	pajqamɒq
3522	Uzbek	recognize	t a n i m ɒ q	tanimɒq
3523	Uzbek	grasp	t u ʃ u n m ɒ q	tuʃunmɒq
3524	Uzbek	understand	a ŋ l a m ɒ q	aŋlamɒq
3525	Uzbek	learn	o q i m ɒ q	oqimɒq
3526	Uzbek	know	b i l m ɒ q	bilmɒq
3527	Uzbek	remember	æ s n i + t a n i m ɒ q	æsni_tanimɒq
3528	Uzbek	forget	u n u t m ɒ q	unutmɒq
3529	Uzbek	measure	o l tʃ a m ɒ q	olt͡ʃamɒq
3530	Uzbek	count	r a q a m l a m ɒ q	raqamlamɒq
3531	Uzbek	calculate	tʃ o t l a m ɒ q	t͡ʃotlamɒq
3532	Uzbek	read	o q i m ɒ q	oqimɒq
3533	Uzbek	paint	r a s m + s ɒ l m ɒ q	rasm_sɒlmɒq
3534	Uzbek	draw	tʃ i z m ɒ q	t͡ʃizmɒq
3535	Uzbek	write	j ɒ z m ɒ q	jɒzmɒq
3536	Uzbek	own	æ g a l a m ɒ q	æɡalamɒq
3537	Uzbek	buy	ɒ l m ɒ q	ɒlmɒq
3538	Uzbek	sell	s ɒ t m ɒ q	sɒtmɒq
3539	Uzbek	pay for	t o l a m ɒ q	tolamɒq
3540	Uzbek	pay	t o l a m ɒ q	tolamɒq
3541	Uzbek	rule	æ g a l a m ɒ q	æɡalamɒq
3542	Uzbek	endure	tʃ i d a m ɒ q	t͡ʃidamɒq
3543	Kazakh	nose	m ʉ ɾ ə n	mʉɾən
3544	Kazakh	mouth	ɑ uə z	ɑuəz
3545	Kazakh	tooth	t ə s	təs
3546	Kazakh	tongue	t ə l	təl
3547	Kazakh	lip	e ɾ ə n	eɾən
3548	Kazakh	cheek	ʉ ɾ t	ʉɾt
3549	Kazakh	face	b e t ɑ u z ə	betɑuzə
3550	Kazakh	forehead	m ɑ ŋ d ɑ j	mɑŋdɑj
3551	Kazakh	moustache	m ʉ ɾ t	mʉɾt
3552	Kazakh	beard	s ɑ q ɑ l	sɑqɑl
3553	Kazakh	chin	ɪ j e k	ɪjek
3554	Kazakh	jaw	ʒ ɑ q	ʒɑq
3555	Kazakh	throat	ɑ l q ə m	ɑlqəm
3556	Kazakh	neck	m o j ə n	mojən
3557	Kazakh	nape	ʒ e l k e	ʒelke
3558	Kazakh	back	ɑ ɾ q ɑ	ɑɾqɑ
3559	Kazakh	belly	q ɑ ɾ ə n	qɑɾən
3560	Kazakh	navel	k ə n d ə k	kəndək
3561	Kazakh	bosom	o m ə ɾ ɑ u	oməɾɑu
3562	Kazakh	breast	k e u d e	keude
3563	Kazakh	shoulder	ɪ j ə q	ɪjəq
3564	Kazakh	arm	q o l	qol
3565	Kazakh	elbow	ʃ ə n t ɑ q	ʃəntɑq
3566	Kazakh	hand	q o l	qol
3567	Kazakh	palm	ɑ l ɑ q ɑ n	ɑlɑqɑn
3568	Kazakh	finger	s ɑ u s ɑ q	sɑusɑq
3569	Kazakh	fingernail	t ə ɾ n ɑ q	təɾnɑq
3570	Kazakh	nail	t ə ɾ n ɑ q	təɾnɑq
3571	Kazakh	toe	t ə ɾ n ɑ q	təɾnɑq
3572	Kazakh	toe	t ʉ j ɑ q	tʉjɑq
3573	Kazakh	foot	ɑ j ɑ q b ɑ s ə	ɑjɑqbɑsə
3574	Kazakh	heel	ø k ʃ e	økʃe
3575	Kazakh	heel	ø k ʃ e l ə k	økʃelək
3576	Kazakh	knee	t ə z e	təze
3577	Kazakh	thigh	ʒ ɑ m b ɑ s	ʒɑmbɑs
3578	Kazakh	leg	ɑ j ɑ q	ɑjɑq
3579	Kazakh	body	d e n e	dene
3580	Kazakh	vein	k ø k t ɑ m ə ɾ	køktɑməɾ
3581	Kazakh	vein	k ʊ ɾ e t ɑ m ə ɾ	kʊɾetɑməɾ
3582	Kazakh	sinew	s ə ŋ ə ɾ	səŋəɾ
3583	Kazakh	brain	m ɪ j	mɪj
3584	Kazakh	heart	ʒ ʊ ɾ e k	ʒʊɾek
3585	Kazakh	stomach	ɑ s q ɑ z ɑ n	ɑsqɑzɑn
3586	Kazakh	liver	b ɑ uə ɾ	bɑuəɾ
3587	Kazakh	breath	l e p	lep
3588	Kazakh	hunger	ɑ ʃ ɑ ɾ ʃ ə l ə q	ɑʃɑɾʃələq
3589	Kazakh	tear	ʒ ɑ s	ʒɑs
3590	Kazakh	flavour	d æ m	dæm
3591	Kazakh	flavour	t ɑ t ə m	tɑtəm
3592	Kazakh	flavour	t ɑ l ʁ ɑ m	tɑlʁɑm
3593	Kazakh	odour	ɪ j ə s	ɪjəs
3594	Kazakh	sleep	ʉ j q ə	ʉjqə
3595	Kazakh	sleep	ʉ j ə q t ɑ u	ʉjəqtɑu
3596	Kazakh	dream	t ʊ s	tʊs
3597	Kazakh	sky	ɑ s p ɑ n	ɑspɑn
3598	Kazakh	sky	k ø q	køq
3599	Kazakh	sky	t ɑ ŋ d ɑ j	tɑŋdɑj
3600	Kazakh	sun	k ʊ n	kʊn
3601	Kazakh	moon	ɑ j	ɑj
3602	Kazakh	star	ʒ ʉ l d ə z	ʒʉldəz
3603	Kazakh	air	æ u e	æue
3604	Kazakh	wind	ʒ e l	ʒel
3605	Kazakh	wave	t o l q ə n	tolqən
3606	Kazakh	water	s u	su
3607	Kazakh	stone	t ɑ s	tɑs
3608	Kazakh	ground	q ə ɾ t ə s	qəɾtəs
3609	Kazakh	earth	t o p ə ɾ ɑ q	topəɾɑq
3610	Kazakh	dust	ʃ ɑ ŋ	ʃɑŋ
3611	Kazakh	smoke	t ʊ t ə n	tʊtən
3612	Kazakh	spark	ʉ ʃ q ə n	ʉʃqən
3613	Kazakh	fire	ɑ l ɑ u	ɑlɑu
3614	Kazakh	light	ʃ ʉ ʁ ə l ɑ	ʃʉʁəlɑ
3615	Kazakh	shadow	k ø l e ŋ k e	køleŋke
3616	Kazakh	weather	ɑ u ɑ + ɾ ɑ j ə	ɑuɑ_ɾɑjə
3617	Kazakh	fog	t ʉ m ɑ n	tʉmɑn
3618	Kazakh	cloud	b ʉ l t	bʉlt
3619	Kazakh	rain	ʒ ɑ ŋ b ə ɾ	ʒɑŋbəɾ
3620	Kazakh	snow	q ɑ ɾ	qɑɾ
3621	Kazakh	ice	m ʉ z	mʉz
3622	Kazakh	frost	s uə q	suəq
3623	Kazakh	chill	ə z ʁ ɑ ɾ	əzʁɑɾ
3624	Kazakh	chill	s uə q t ə q	suəqtəq
3625	Kazakh	heat	ɑ p t ɑ p	ɑptɑp
3626	Kazakh	hoarfrost	q ə ɾ ɑ u	qəɾɑu
3627	Kazakh	rainbow	k e m p ə ɾ q o s ɑ q	kempəɾqosɑq
3628	Kazakh	thunder	k ʊ n + k ʊ ɾ k ə ɾ e u	kʊn_kʊɾkəɾeu
3629	Kazakh	current	ɑ ʁ ə n	ɑʁən
3630	Kazakh	drop	t ɑ m ʃ ə	tɑmʃə
3631	Kazakh	foam	k ø b ə k	købək
3632	Kazakh	dirt	k ə ɾ	kəɾ
3633	Kazakh	lake	k ø l	køl
3634	Kazakh	swamp	s ɑ z	sɑz
3635	Kazakh	moor	s ɑ z	sɑz
3636	Kazakh	meadow	ʃ ɑ l ʁ ə n	ʃɑlʁən
3637	Kazakh	forest	o ɾ m ɑ n	oɾmɑn
3638	Kazakh	hill	t ø b e	tøbe
3639	Kazakh	hill	b e l e s	beles
3640	Kazakh	hill	b e l e s b e l e s	belesbeles
3641	Kazakh	elevation	d ø ŋ	døŋ
3642	Kazakh	elevation	ɑ d ə ɾ	ɑdəɾ
3643	Kazakh	elevation	q ə ɾ ɑ t	qəɾɑt
3644	Kazakh	mountain	t ɑ u	tɑu
3645	Kazakh	summit	t ø b e	tøbe
3646	Kazakh	cave	ʊ ŋ g ə ɾ	ʊŋɡəɾ
3647	Kazakh	slope	b ɑ uə ɾ	bɑuəɾ
3648	Kazakh	source	q ɑ j n ɑ ɾ	qɑjnɑɾ
3649	Kazakh	brook	ʒ ə l ʁ ɑ	ʒəlʁɑ
3650	Kazakh	river	ø z e n	øzen
3651	Kazakh	shore	ʒ ɪ j e k	ʒɪjek
3652	Kazakh	coast	ʒ ɪ j e g ə	ʒɪjeɡə
3653	Kazakh	coast	ʒ ɑ ʁ ɑ l ɑ u	ʒɑʁɑlɑu
3654	Kazakh	land	q ʉ ɾ ə l ə q	qʉɾələq
3655	Kazakh	sea	t e ŋ ə z	teŋəz
3656	Kazakh	cove, bay	ʃ ə ʁ ɑ n ɑ q	ʃəʁɑnɑq
3657	Kazakh	island	ɑ ɾ ɑ l	ɑɾɑl
3658	Kazakh	flower	g ʊ l	ɡʊl
3659	Kazakh	grass	o t	ot
3660	Kazakh	trunk	s o j ɑ u	sojɑu
3661	Kazakh	trunk	o q p ɑ n	oqpɑn
3662	Kazakh	limb	b ʉ t ɑ q	bʉtɑq
3663	Kazakh	twig	ʃ ə b ə q	ʃəbəq
3664	Kazakh	birch	q ɑ j ə ŋ	qɑjəŋ
3665	Kazakh	pine	q ɑ ɾ ɑ ʁ ɑ j	qɑɾɑʁɑj
3666	Kazakh	willow	t ɑ l	tɑl
3667	Kazakh	fir	ʃ ə ɾ ʃ ɑ	ʃəɾʃɑ
3668	Kazakh	fur	t e ɾ ə	teɾə
3669	Kazakh	wing	q ɑ n ɑ t	qɑnɑt
3670	Kazakh	claw	t ə ɾ n ɑ q	təɾnɑq
3671	Kazakh	paw	ɑ j ɑ q	ɑjɑq
3672	Kazakh	nest	ʉ j ɑ	ʉjɑ
3673	Kazakh	lair	ʒ ɑ t ɑ q	ʒɑtɑq
3674	Kazakh	animal	ɑ j u ɑ n	ɑjuɑn
3675	Kazakh	animal	ʒ ɑ n u ɑ ɾ	ʒɑnuɑɾ
3676	Kazakh	flock	p ɑ d ɑ	pɑdɑ
3677	Kazakh	cow	s ɪ j ə ɾ	sɪjəɾ
3678	Kazakh	bull	ø g ə z	øɡəz
3679	Kazakh	horse	ʒ ə l q ə	ʒəlqə
3680	Kazakh	sheep	q o j	qoj
3681	Kazakh	pig	ʃ o ʃ q ɑ	ʃoʃqɑ
3682	Kazakh	cat	m ə s ə q	məsəq
3683	Kazakh	bear	ɑ j ʊ w	ɑjʊw
3684	Kazakh	squirrel	t ɪ j ə n	tɪjən
3685	Kazakh	elk	b ʉ ʁ ə	bʉʁə
3686	Kazakh	fox	t ʊ l k ə	tʊlkə
3687	Kazakh	hare	q o j ɑ n	qojɑn
3688	Kazakh	mouse	q ɑ p t e s e ɾ	qɑpteseɾ
3689	Kazakh	wolf	b ø ɾ ə	bøɾə
3690	Kazakh	wolf	q ɑ s q ə ɾ	qɑsqəɾ
3691	Kazakh	swarm	t o p	top
3692	Kazakh	swarm	ʊ j ə ɾ	ʊjəɾ
3693	Kazakh	chicken	t ɑ uə q	tɑuəq
3694	Kazakh	chicken	m e k ɪ j e n	mekɪjen
3695	Kazakh	cock	æ t e ʃ	æteʃ
3696	Kazakh	cock	q o ɾ ɑ z	qoɾɑz
3697	Kazakh	goose	q ɑ z	qɑz
3698	Kazakh	eagle	b ʊ ɾ k ə t	bʊɾkət
3699	Kazakh	duck	ʊ j ɾ e k	ʊjɾek
3700	Kazakh	owl	ʒ ɑ p ɑ l ɑ q	ʒɑpɑlɑq
3701	Kazakh	crane	t ə ɾ n ɑ	təɾnɑ
3702	Kazakh	crow	q ɑ ɾ ʁ ɑ	qɑɾʁɑ
3703	Kazakh	cuckoo	k ø k e k	køkek
3704	Kazakh	swan	ɑ qː u	ɑqːu
3705	Kazakh	perch	ɑ l ɑ b ʉ ʁ ɑ	ɑlɑbʉʁɑ
3706	Kazakh	pike	ʃ o ɾ t ɑ n	ʃoɾtɑn
3707	Kazakh	snake	ʒ ə l ɑ n	ʒəlɑn
3708	Kazakh	worm	ʃ ʉ b ɑ l ʃ ɑ ŋ	ʃʉbɑlʃɑŋ
3709	Kazakh	spider	ø ɾ m e k ʃ ə	øɾmekʃə
3710	Kazakh	ant	q ʊ m ə ɾ s k ɑ	qʊməɾskɑ
3711	Kazakh	gnat	m ɑ s ɑ	mɑsɑ
3712	Kazakh	fly	ʃ ə b ə n	ʃəbən
3713	Kazakh	butterfly	k ø b e l e k	købelek
3714	Kazakh	berry	ʒ ɪ j d e k	ʒɪjdek
3715	Kazakh	apple	ɑ l m ɑ	ɑlmɑ
3716	Kazakh	mushroom	q o z ə q ʉ j ɾ ə q	qozəqʉjɾəq
3717	Kazakh	mushroom	s ɑ ŋ ə ɾ ɑ u k u l ɑ q	sɑŋəɾɑukulɑq
3718	Kazakh	onion	ʒ u ɑ	ʒuɑ
3719	Kazakh	grain	d æ n	dæn
3720	Kazakh	hay	ʃ ø p	ʃøp
3721	Kazakh	peel, husk	q ɑ b ə q	qɑbəq
3722	Kazakh	peel, husk	q ɑ b ə ʁ ə	qɑbəʁə
3723	Kazakh	pit	o ɾ	oɾ
3724	Kazakh	trap	d ʉ z ɑ q	dʉzɑq
3725	Kazakh	trap	q ɑ q p ɑ n	qɑqpɑn
3726	Kazakh	noose	ə l m e k	əlmek
3727	Kazakh	track	ə z	əz
3728	Kazakh	ash	k ʊ l	kʊl
3729	Kazakh	filth	b ə l ʁ ɑ n ə ʃ	bəlʁɑnəʃ
3730	Kazakh	iron	t e m ə ɾ	teməɾ
3731	Kazakh	gold	ɑ l t ə n	ɑltən
3732	Kazakh	silver	k ʊ m ə s	kʊməs
3733	Kazakh	coal	k ø m ə ɾ	køməɾ
3734	Kazakh	glass	ʃ ə n ə	ʃənə
3735	Kazakh	clay	b ɑ l ʃ ə q	bɑlʃəq
3736	Kazakh	sand	q ʉ m	qʉm
3737	Kazakh	human	ɑ d ɑ m	ɑdɑm
3738	Kazakh	child	b ɑ l ɑ	bɑlɑ
3739	Kazakh	child	p e ɾ z e n t	peɾzent
3740	Kazakh	boy	b ɑ l ɑ	bɑlɑ
3741	Kazakh	boy	e ɾ + b ɑ l ɑ	eɾ_bɑlɑ
3742	Kazakh	girl	q ə z	qəz
3743	Kazakh	family	ʒ ɑ n ʉ j ɑ	ʒɑnʉjɑ
3744	Kazakh	grandfather	ɑ t ɑ	ɑtɑ
3745	Kazakh	grandmother	æ ʒ e	æʒe
3746	Kazakh	grandmother	æ ʒ e j	æʒej
3747	Kazakh	parents	ɑ t ɑ ɑ n ɑ l ɑ ɾ	ɑtɑɑnɑlɑɾ
3748	Kazakh	father	æ k e	æke
3749	Kazakh	mother	ɑ n ɑ	ɑnɑ
3750	Kazakh	son	ʉ l	ʉl
3751	Kazakh	daughter	q ə z ə m	qəzəm
3752	Kazakh	brother	b ɑ uə ɾ ə m	bɑuəɾəm
3753	Kazakh	sister	æ p k e	æpke
3754	Kazakh	uncle	k ø k e	køke
3755	Kazakh	aunt	t æ t e	tæte
3756	Kazakh	husband	e ɾ	eɾ
3757	Kazakh	wife	z ɑ j ə p	zɑjəp
3758	Kazakh	joy	q u ɑ n ə ʃ	quɑnəʃ
3759	Kazakh	joy	s ʊ j ə n ə ʃ	sʊjənəʃ
3760	Kazakh	joy	ʃ ɑ t d u m ɑ n	ʃɑtdumɑn
3761	Kazakh	joy	q u ɑ n ə ʃ t ə l ə q	quɑnəʃtələq
3762	Kazakh	laughter	k ʊ l u	kʊlu
3763	Kazakh	happiness	b ɑ q ə t	bɑqət
3764	Kazakh	happiness	b ɑ q ə tː ə l ə q	bɑqətːələq
3765	Kazakh	grief	ɑ z ɑ	ɑzɑ
3766	Kazakh	grief	q ɑ j ʁ ə	qɑjʁə
3767	Kazakh	grief	q ɑ s ə ɾ e t	qɑsəɾet
3768	Kazakh	wish	m ʊ dː e	mʊdːe
3769	Kazakh	desire	t æ b e t	tæbet
3770	Kazakh	desire	ə n t ə z ɑ ɾ	əntəzɑɾ
3771	Kazakh	desire	q ʉ ʃ t ɑ ɾ l ə q	qʉʃtɑɾləq
3772	Kazakh	spirit	ɾ u x	ɾux
3773	Kazakh	thought	o j	oj
3774	Kazakh	memory	e s	es
3775	Kazakh	memory	ʒ ɑ d ə	ʒɑdə
3776	Kazakh	memory	ɑ q ə l e s	ɑqəles
